Time,CHDMC006,CHSWP003,CHVCT000,OLD_MID,ROLD024,ROLD059,RSAC064,RSAC075,RSAC081,RSAC092,RSAN007,RSAN018,RSAN032,RSAN037,RSAN058,RSAN072,RSMKL008,SLCBN002,SLDUT007,SLMZU011,SLMZU025,SLSUS012,SLTRM004
9/3/1991,504.6211974,488.6140245,334.1078469,628.8315239,626.8863068,584.3824724,19248.27202,14055.50697,10118.29964,3125.286894,6521.446978,2150.922576,470.9119109,397.173001,206.0434593,295.0776358,174.1306575,16460.79397,1262.58222,16156.65443,13042.23407,15847.95585,1310.094474
9/4/1991,503.7971465,492.0601247,334.4905434,691.0012039,646.4121526,572.1122684,20216.11125,14248.34802,10358.76406,3289.542513,6637.657578,2205.287632,482.6999524,409.8752228,206.3795942,296.7124446,176.8020622,16671.27605,1314.106388,16198.95182,13213.14246,15962.26947,1387.902974
9/5/1991,498.1742175,487.1165746,339.9359369,705.6519782,668.665507,564.3937912,20640.18303,14629.37731,10648.1529,3513.069497,6823.537989,2289.877954,492.0094686,422.2779849,205.9828035,300.0755526,178.5270028,17027.23953,1379.793982,16264.91234,13338.16954,16092.77928,1501.335611
9/6/1991,489.4520632,494.5160812,344.6532555,742.4533087,690.8641771,561.4479618,20540.42039,14591.25122,10546.08352,3527.445666,6666.04129,2239.279833,485.9803821,422.6610438,205.1513912,309.3095036,181.7090217,17300.8526,1426.928249,16311.51697,13358.79674,16178.83464,1525.996229
9/7/1991,517.3693326,500.0344067,351.086676,729.5608533,714.3186677,563.9757627,20074.47517,14119.19434,10033.97764,3225.451684,6147.790464,2024.107969,449.6945815,406.0748727,203.6040532,334.3059988,188.0788406,17357.75909,1454.965495,16313.13989,13084.94293,16188.83131,1378.720914
9/8/1991,525.4392964,498.412776,360.4458281,744.9942087,748.2199357,566.9438642,20008.42519,14390.68,10243.08288,3313.265985,6178.877668,2006.087254,453.9888323,396.8457015,201.847586,355.7784589,189.6892637,17599.05678,1494.827934,16445.12433,12955.60249,16402.65145,1368.22106
9/9/1991,515.0910101,503.5204166,368.5815477,767.7721615,778.9898465,564.0792503,20389.58099,14823.9712,10667.33585,3555.101042,6462.303998,2091.660451,481.6742284,399.8850295,200.8821114,362.444533,192.5287374,17842.10502,1523.823062,16620.19998,12995.48444,16606.97865,1449.3571
9/10/1991,533.4083122,524.9996554,372.9073455,788.3151576,795.9741516,566.3036467,19789.21515,14408.00009,10187.62507,3281.185201,6075.329852,1952.17849,442.8799473,394.6903607,200.3194009,375.1574888,195.42051,17856.38316,1513.689167,16583.91379,12901.51823,16630.37667,1347.537039
9/11/1991,564.4248625,545.0422573,383.0898263,805.4017696,814.5693169,577.5377318,19849.07196,14298.43565,10073.80779,3136.042656,6018.692258,1937.042091,451.0640562,393.7014538,199.3051707,373.4870415,191.2398427,17861.69773,1527.858117,16513.44933,12852.77722,16760.68193,1311.081581
9/12/1991,586.5008163,574.3601475,395.5489394,755.9195894,827.064661,584.3127047,20300.28308,14609.63011,10320.40087,3232.796567,6377.980072,2070.135873,485.9281956,407.6911793,198.1060193,346.5138432,186.6914881,17894.81545,1547.245496,16617.28709,13062.79217,16840.39042,1369.607668
